Datum,Tijd,Valutadatum,Product,ISIN,Omschrijving,FX,Mutatie,,Saldo,,Order Id
17-06-2026,16:43,17-06-2026,,,Degiro Cash Sweep Transfer,,USD,"-105,00",USD,"105,00",
17-06-2026,16:43,17-06-2026,,,Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 105 USD,,,,USD,"210,00",
17-06-2026,16:43,17-06-2026,,,Degiro Cash Sweep Transfer,,EUR,"4,00",EUR,"260,04",
17-06-2026,16:43,17-06-2026,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank 4 EUR,,,,EUR,"256,04",
17-06-2026,15:50,17-06-2026,ALPHABET INC CLASS C,US02079K1079,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"260,04",1eac3965-cade-4e63-b77b-6c468748ab57
17-06-2026,15:50,17-06-2026,ALPHABET INC CLASS C,US02079K1079,Koop 13 @ 365 USD,,USD,"-4745,00",USD,"105,00",1eac3965-cade-4e63-b77b-6c468748ab57
17-06-2026,15:48,17-06-2026,AMAZON.COM INC,US0231351067,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"262,04",fc4c4ccc-4282-4c2e-a48a-7314781261b5
17-06-2026,15:48,17-06-2026,AMAZON.COM INC,US0231351067,"Verkoop 20 @ 242,5 USD",,USD,"4850,00",USD,"4850,00",fc4c4ccc-4282-4c2e-a48a-7314781261b5
09-06-2026,19:12,09-06-2026,,,Degiro Cash Sweep Transfer,,EUR,"931,34",EUR,"264,04",
09-06-2026,19:12,09-06-2026,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 931,34 EUR",,,,EUR,"-667,30",
09-06-2026,16:30,09-06-2026,MARVELL TECHNOLOGY INC,US5738741041,Valuta Creditering,"1,1535",USD,"1072,00",USD,"0,00",7bb148bd-a3d8-471d-bd63-057fd936b346
09-06-2026,16:30,09-06-2026,MARVELL TECHNOLOGY INC,US5738741041,Valuta Debitering,,EUR,"-929,34",EUR,"264,04",7bb148bd-a3d8-471d-bd63-057fd936b346
09-06-2026,16:30,09-06-2026,MARVELL TECHNOLOGY INC,US5738741041,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"1193,38",7bb148bd-a3d8-471d-bd63-057fd936b346
09-06-2026,16:30,09-06-2026,MARVELL TECHNOLOGY INC,US5738741041,Koop 4 @ 268 USD,,USD,"-1072,00",USD,"-1072,00",7bb148bd-a3d8-471d-bd63-057fd936b346
27-05-2026,20:20,27-05-2026,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 1.103,73 EUR",,,,EUR,"1195,38",
27-05-2026,20:20,27-05-2026,,,Degiro Cash Sweep Transfer,,EUR,"1103,73",EUR,"2299,11",
27-05-2026,19:07,27-05-2026,VERTIV HOLDINGS CO CLASS A,US92537N1081,Valuta Creditering,"1,1600",USD,"1278,00",USD,"0,00",f6cb6d5c-73e3-48ff-b96b-2b3cb6b19528
27-05-2026,19:07,27-05-2026,VERTIV HOLDINGS CO CLASS A,US92537N1081,Valuta Debitering,,EUR,"-1101,73",EUR,"1195,38",f6cb6d5c-73e3-48ff-b96b-2b3cb6b19528
27-05-2026,19:07,27-05-2026,VERTIV HOLDINGS CO CLASS A,US92537N1081,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"2297,11",f6cb6d5c-73e3-48ff-b96b-2b3cb6b19528
27-05-2026,19:07,27-05-2026,VERTIV HOLDINGS CO CLASS A,US92537N1081,"Koop 4 @ 319,5 USD",,USD,"-1278,00",USD,"-1278,00",f6cb6d5c-73e3-48ff-b96b-2b3cb6b19528
27-05-2026,07:34,27-05-2026,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 418,35 EUR",,,,EUR,"2299,11",
27-05-2026,07:34,27-05-2026,,,Degiro Cash Sweep Transfer,,EUR,"-418,35",EUR,"1880,76",
27-05-2026,06:30,26-05-2026,,,Valuta Creditering,,EUR,"418,35",EUR,"2299,11",
27-05-2026,06:30,26-05-2026,,,Valuta Debitering,"1,1660",USD,"-487,78",USD,"0,00",
26-05-2026,17:50,26-05-2026,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,51 EUR",,,,EUR,"1880,76",
26-05-2026,17:50,26-05-2026,,,Degiro Cash Sweep Transfer,,EUR,"-0,51",EUR,"1880,25",
26-05-2026,17:35,26-05-2026,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 487,78 USD",,,,USD,"487,78",
26-05-2026,17:35,26-05-2026,,,Degiro Cash Sweep Transfer,,USD,"487,78",USD,"975,56",
26-05-2026,16:44,26-05-2026,,,Inkomsten uit Securities Lending - April,,EUR,"0,51",EUR,"1880,76",
22-05-2026,09:35,22-05-2026,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 27,62 EUR",,,,EUR,"1880,25",
22-05-2026,09:35,22-05-2026,,,Degiro Cash Sweep Transfer,,EUR,"-27,62",EUR,"1852,63",
22-05-2026,08:07,21-05-2026,ASM INTERNATIONAL NV,NL0000334118,Dividendbelasting,,EUR,"-4,88",EUR,"1880,25",
22-05-2026,08:07,21-05-2026,ASM INTERNATIONAL NV,NL0000334118,Dividend,,EUR,"32,50",EUR,"1885,13",
19-05-2026,22:41,19-05-2026,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank 2 EUR,,,,EUR,"1852,63",
19-05-2026,22:41,19-05-2026,,,Degiro Cash Sweep Transfer,,EUR,"2,00",EUR,"1854,63",
19-05-2026,22:40,19-05-2026,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 965,94 USD",,,,USD,"487,78",
19-05-2026,22:40,19-05-2026,,,Degiro Cash Sweep Transfer,,USD,"965,94",USD,"1453,72",
19-05-2026,21:56,19-05-2026,VERTIV HOLDINGS CO CLASS A,US92537N1081,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"1852,63",3f48ce6e-9a7c-426e-acb6-a965140052e1
19-05-2026,21:56,19-05-2026,VERTIV HOLDINGS CO CLASS A,US92537N1081,"Koop 3 @ 321,98 USD",,USD,"-965,94",USD,"487,78",3f48ce6e-9a7c-426e-acb6-a965140052e1
19-05-2026,17:21,19-05-2026,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 1.159,1 EUR",,,,EUR,"1854,63",
19-05-2026,17:21,19-05-2026,,,Degiro Cash Sweep Transfer,,EUR,"1159,10",EUR,"3013,73",
19-05-2026,17:21,19-05-2026,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 1.649,3 USD",,,,USD,"1453,72",
19-05-2026,17:21,19-05-2026,,,Degiro Cash Sweep Transfer,,USD,"1649,30",USD,"3103,02",
19-05-2026,16:31,19-05-2026,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank 2.094 EUR,,,,EUR,"1854,63",
19-05-2026,16:31,19-05-2026,,,Degiro Cash Sweep Transfer,,EUR,"2094,00",EUR,"3948,63",
19-05-2026,16:31,19-05-2026,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 3.698,17 USD",,,,USD,"1453,72",
19-05-2026,16:31,19-05-2026,,,Degiro Cash Sweep Transfer,,USD,"3698,17",USD,"5151,89",
19-05-2026,16:22,19-05-2026,MARVELL TECHNOLOGY INC,US5738741041,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"1854,63",ad504634-d8c4-4a25-adb2-2e719844da92
19-05-2026,16:22,19-05-2026,MARVELL TECHNOLOGY INC,US5738741041,"Koop 10 @ 164,93 USD",,USD,"-1649,30",USD,"1453,72",ad504634-d8c4-4a25-adb2-2e719844da92
19-05-2026,16:17,19-05-2026,SIEMENS ENERGY AG,DE000ENER6Y0,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-4,90",EUR,"1856,63",9aad342d-f527-4a80-b27a-85c27648b360
19-05-2026,16:17,19-05-2026,SIEMENS ENERGY AG,DE000ENER6Y0,"Koop 7 @ 164,6 EUR",,EUR,"-1152,20",EUR,"1861,53",9aad342d-f527-4a80-b27a-85c27648b360
19-05-2026,15:57,19-05-2026,VANECK SEMICONDUCTOR UCITS ETF USD A,IE00BMC38736,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-3,00",EUR,"3013,73",a3199416-4b52-4080-889f-7b104196adfa
19-05-2026,15:57,19-05-2026,VANECK SEMICONDUCTOR UCITS ETF USD A,IE00BMC38736,"Koop 25 @ 83,48 EUR",,EUR,"-2087,00",EUR,"3016,73",a3199416-4b52-4080-889f-7b104196adfa
19-05-2026,15:55,19-05-2026,VERTIV HOLDINGS CO CLASS A,US92537N1081,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"5103,73",b96e3bdd-54db-44b0-a2e3-ef1716e844ec
19-05-2026,15:55,19-05-2026,VERTIV HOLDINGS CO CLASS A,US92537N1081,"Koop 7 @ 327,595 USD",,USD,"-2293,16",USD,"3103,02",b96e3bdd-54db-44b0-a2e3-ef1716e844ec
19-05-2026,15:54,19-05-2026,ARISTA NETWORKS INC,US0404132054,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"5105,73",107cb75d-9deb-44ce-a5e2-923fd7243a09
19-05-2026,15:54,19-05-2026,ARISTA NETWORKS INC,US0404132054,"Koop 10 @ 140,5 USD",,USD,"-1405,00",USD,"5396,19",107cb75d-9deb-44ce-a5e2-923fd7243a09
15-05-2026,22:52,15-05-2026,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 2.167,72 USD",,,,USD,"6801,19",
15-05-2026,22:52,15-05-2026,,,Degiro Cash Sweep Transfer,,USD,"-2167,72",USD,"4633,47",
