Product,Symbool/ISIN,Aantal,Slotkoers,Lokale waarde,,Waarde in EUR
CASH & CASH FUND & FTX CASH (EUR),,,,EUR,"260,04","260,04"
CASH & CASH FUND & FTX CASH (USD),,,,USD,"105,00","91,63"
ALPHABET INC CLASS C,US02079K1079,13,"367,46",USD,"4776,98","4168,39"
APPLIED DIGITAL CORP,US0381692070,216,"46,59",USD,"10063,44","8781,36"
ARISTA NETWORKS INC,US0404132054,38,"169,67",USD,"6447,46","5626,05"
ASM INTERNATIONAL NV,NL0000334118,10,"1066,50",EUR,"10665,00","10665,00"
ASML HOLDING NV,NL0010273215,8,"1657,80",EUR,"13262,40","13262,40"
BE SEMICONDUCTOR INDUSTRIES NV,NL0012866412,41,"309,80",EUR,"12701,80","12701,80"
COREWEAVE INC CLASS A,US21873S1087,96,"117,95",USD,"11323,20","9880,62"
CROWDSTRIKE HOLDINGS INC CLASS A,US22788C1053,14,"684,86",USD,"9588,04","8366,52"
ISHARES CORE S&P 500 UCITS ETF U...,IE00B5BMR087,24,"703,52",EUR,"16884,48","16884,48"
LAM RESEARCH CORP,US5128073062,26,"389,04",USD,"10115,04","8826,38"
LIMBACH HOLDINGS INC,US53263P1057,39,"80,15",USD,"3125,85","2727,62"
MARVELL TECHNOLOGY INC,US5738741041,71,"310,58",USD,"22051,18","19241,86"
NEBIUS GROUP NV CLASS A,NL0009805522,73,"286,69",USD,"20928,37","18262,10"
SIEMENS ENERGY AG,DE000ENER6Y0,120,"168,92",EUR,"20270,40","20270,40"
VANECK DEFENSE UCITS ETF,IE000YYE6WK5,154,"60,15",USD,"9263,10","8082,98"
VANECK SEMICONDUCTOR UCITS ETF U...,IE00BMC38736,365,"108,23",EUR,"39503,95","39503,95"
VERTIV HOLDINGS CO CLASS A,US92537N1081,14,"333,05",USD,"4662,70","4068,67"
