Datum,Tijd,Product,ISIN,Beurs,Uitvoeringsplaats,Aantal,Koers,,Lokale waarde,,Waarde EUR,Wisselkoers,AutoFX Kosten,Transactiekosten en/of kosten van derden EUR,Totaal EUR,Order ID,
17-06-2026,15:50,ALPHABET INC CLASS C,US02079K1079,NDQ,BATS,13,"365,0000",USD,"-4745,00",USD,"-4090,52","1,1600","0,00","-2,00","-4092,52",,1eac3965-cade-4e63-b77b-6c468748ab57
17-06-2026,15:48,AMAZON.COM INC,US0231351067,NDQ,BATS,-20,"242,5000",USD,"4850,00",USD,"4182,12","1,1597","0,00","-2,00","4180,12",,fc4c4ccc-4282-4c2e-a48a-7314781261b5
09-06-2026,16:30,MARVELL TECHNOLOGY INC,US5738741041,NDQ,BATS,4,"268,0000",USD,"-1072,00",USD,"-927,02","1,1564","-2,32","-2,00","-931,34",,7bb148bd-a3d8-471d-bd63-057fd936b346
27-05-2026,19:07,VERTIV HOLDINGS CO CLASS A,US92537N1081,NSY,ARCX,4,"319,5000",USD,"-1278,00",USD,"-1098,98","1,1629","-2,75","-2,00","-1103,73",,f6cb6d5c-73e3-48ff-b96b-2b3cb6b19528
19-05-2026,21:56,VERTIV HOLDINGS CO CLASS A,US92537N1081,NSY,MSRP,3,"321,9800",USD,"-965,94",USD,"-832,35","1,1605","0,00","-2,00","-834,35",,3f48ce6e-9a7c-426e-acb6-a965140052e1
19-05-2026,16:22,MARVELL TECHNOLOGY INC,US5738741041,NDQ,MSRP,10,"164,9300",USD,"-1649,30",USD,"-1421,57","1,1602","0,00","-2,00","-1423,57",,ad504634-d8c4-4a25-adb2-2e719844da92
19-05-2026,16:17,SIEMENS ENERGY AG,DE000ENER6Y0,XET,XETA,7,"164,6000",EUR,"-1152,20",EUR,"-1152,20",,"0,00","-4,90","-1157,10",,9aad342d-f527-4a80-b27a-85c27648b360
19-05-2026,15:57,VANECK SEMICONDUCTOR UCITS ETF USD A,IE00BMC38736,MIL,MSEU,25,"83,4800",EUR,"-2087,00",EUR,"-2087,00",,"0,00","-3,00","-2090,00",,a3199416-4b52-4080-889f-7b104196adfa
19-05-2026,15:55,VERTIV HOLDINGS CO CLASS A,US92537N1081,NSY,MSRP,7,"327,5950",USD,"-2293,16",USD,"-1974,31","1,1615","0,00","-2,00","-1976,31",,b96e3bdd-54db-44b0-a2e3-ef1716e844ec
19-05-2026,15:54,ARISTA NETWORKS INC,US0404132054,NSY,SOHO,10,"140,5000",USD,"-1405,00",USD,"-1210,16","1,1610","0,00","-2,00","-1212,16",,107cb75d-9deb-44ce-a5e2-923fd7243a09
15-05-2026,21:48,ARISTA NETWORKS INC,US0404132054,NSY,EDGX,8,"142,3600",USD,"-1138,88",USD,"-980,02","1,1621","0,00","-2,00","-982,02",,c517d885-aead-4688-b821-fdacaeda58d9
15-05-2026,21:45,SHOPIFY INC CLASS A,CA82509L1076,NDQ,XNAS,-17,"100,2000",USD,"1703,40",USD,"1465,92","1,1620","0,00",,"1465,92",,cd0a0e8f-502c-4124-964c-8035f132e3fc
15-05-2026,21:44,SHOPIFY INC CLASS A,CA82509L1076,NDQ,XNAS,-16,"100,2000",USD,"1603,20",USD,"1379,81","1,1619","0,00","-2,00","1377,81",,cd0a0e8f-502c-4124-964c-8035f132e3fc
13-05-2026,21:16,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,CDED,-70,"24,2300",USD,"1696,10",USD,"1448,42","1,1710","0,00","-2,00","1446,42",,e0da97b5-0f83-4726-9cd3-e16f90134fe5
13-05-2026,13:31,VANECK SEMICONDUCTOR UCITS ETF USD A,IE00BMC38736,MIL,MSEU,20,"89,2200",EUR,"-1784,40",EUR,"-1784,40",,"0,00","-3,00","-1787,40",39d082ee-4ec3-4bc4-a327-023bd9718cfb
13-05-2026,13:30,VANECK URANIUM AND NUCLEAR TECHNOLOGIES UCITS ETF,IE000M7V94E1,TDG,XGAT,-37,"53,8600",EUR,"1992,82",EUR,"1992,82",,"0,00","-1,00","1991,82",32f85652-1ebb-41c3-9050-32f6c5e454d7
13-05-2026,13:25,SIEMENS ENERGY AG,DE000ENER6Y0,XET,XETA,11,"176,8600",EUR,"-1945,46",EUR,"-1945,46",,"0,00","-4,90","-1950,36",d7292721-54b6-4eda-86dd-944927e4666a
11-05-2026,21:21,COREWEAVE INC CLASS A,US21873S1087,NDQ,ARCX,9,"114,0000",USD,"-1026,00",USD,"-871,34","1,1775","0,00",,"-871,34",3708f6fc-e31d-464e-82ff-3fcb79491cfa
11-05-2026,21:21,COREWEAVE INC CLASS A,US21873S1087,NDQ,ARCX,1,"114,0000",USD,"-114,00",USD,"-96,82","1,1775","0,00","-2,00","-98,82",3708f6fc-e31d-464e-82ff-3fcb79491cfa
11-05-2026,21:21,ARISTA NETWORKS INC,US0404132054,NSY,XNAS,10,"137,0000",USD,"-1370,00",USD,"-1163,48","1,1775","0,00","-2,00","-1165,48",6f43a894-ab49-402d-81bb-6cc755b3ae19
11-05-2026,21:18,LIMBACH HOLDINGS INC,US53263P1057,NDQ,EDGX,14,"76,0000",USD,"-1064,00",USD,"-903,53","1,1776","0,00","-2,00","-905,53",3f7286b9-fbcc-4b02-a352-5c9f5efbc2b6
06-05-2026,16:01,META PLATFORMS INC CLASS A,US30303M1027,NDQ,SOHO,-8,"605,5500",USD,"4844,40",USD,"4122,54","1,1751","0,00","-2,00","4120,54",c9f19c78-9dcd-4006-9771-539d3236e54d
06-05-2026,15:59,ARISTA NETWORKS INC,US0404132054,NSY,BATS,8,"147,0000",USD,"-1176,00",USD,"-1000,69","1,1752","-2,50",,"-1003,19",8f9a1be3-133b-493e-b6c2-a066f1dcbe89
06-05-2026,15:59,ARISTA NETWORKS INC,US0404132054,NSY,BATS,2,"147,0000",USD,"-294,00",USD,"-250,19","1,1751","-0,63","-2,00","-252,82",8f9a1be3-133b-493e-b6c2-a066f1dcbe89
06-05-2026,15:57,LIMBACH HOLDINGS INC,US53263P1057,NDQ,BATS,25,"81,0000",USD,"-2025,00",USD,"-1723,11","1,1752","0,00","-2,00","-1725,11",7f0b1e37-3aef-4784-aa5a-ef92f4b71d43
06-05-2026,15:09,VANECK URANIUM AND NUCLEAR TECHNOLOGIES UCITS ETF,IE000M7V94E1,TDG,XGAT,37,"54,2700",EUR,"-2007,99",EUR,"-2007,99",,"0,00","-1,00","-2008,99",07906a05-3a3e-4b7b-b105-955e6ce4568c
24-04-2026,17:57,CROWDSTRIKE HOLDINGS INC CLASS A,US22788C1053,NDQ,XNAS,14,"442,0000",USD,"-6188,00",USD,"-5280,76","1,1718","0,00","-2,00","-5282,76",2ff79905-2876-46a4-9cd1-ca420b479e52
24-04-2026,17:55,CROWDSTRIKE HOLDINGS INC CLASS A,US22788C1053,NDQ,CDED,-14,"442,0300",USD,"6188,42",USD,"5281,12","1,1718","0,00","-2,00","5279,12",bf1f3982-dc9e-41ab-8e44-67bca611c3a4
10-04-2026,16:21,SHOPIFY INC CLASS A,CA82509L1076,NDQ,CDED,-33,"111,7100",USD,"3686,43",USD,"3141,40","1,1735","0,00","-2,00","3139,40",af590a7e-8b28-49bd-916e-61d27dabd92f
07-04-2026,13:45,VANECK DEFENSE UCITS ETF,IE000YYE6WK5,LSE,MSEU,32,"69,7300",USD,"-2231,36",USD,"-1930,09","1,1561","-4,83","-3,00","-1937,91",fdc82aa4-c249-4481-b942-3ebcd0b4ea4c
02-04-2026,16:02,NEBIUS GROUP NV CLASS A,NL0009805522,NDQ,MSRP,10,"102,6150",USD,"-1026,15",USD,"-889,99","1,1530","-2,22","-2,00","-894,21",2fb4465b-d5ed-46c3-afbf-4afdb7402fa7
02-04-2026,16:01,COREWEAVE INC CLASS A,US21873S1087,NDQ,JNST,14,"76,6100",USD,"-1072,54",USD,"-930,14","1,1531","-2,33","-2,00","-934,47",5e6eeb17-d17c-4f7e-8b50-958cd5766dff
02-04-2026,16:01,APPLIED DIGITAL CORP,US0381692070,NDQ,CDED,30,"23,3350",USD,"-700,05",USD,"-607,05","1,1532","-1,52","-2,00","-610,57",66e4726d-1654-497b-bf90-96fabafd31d9
26-03-2026,17:26,APPLIED DIGITAL CORP,US0381692070,NDQ,EDGX,30,"25,8300",USD,"-774,90",USD,"-671,90","1,1533","-1,68","-2,00","-675,58",fe9870ce-94c3-40d0-80b9-cc590c769932
26-03-2026,16:31,LAM RESEARCH CORP,US5128073062,NDQ,XNYS,3,"217,0000",USD,"-651,00",USD,"-563,98","1,1543","-1,41","-2,00","-567,39",136754dd-6941-49e7-b581-3d9b4660763a
24-03-2026,15:53,LAM RESEARCH CORP,US5128073062,NDQ,XNAS,7,"236,0000",USD,"-1652,00",USD,"-1423,77","1,1603","0,00","-2,00","-1425,77",500954ef-b405-4290-9685-4cfb035d395c
24-03-2026,15:53,APPLIED DIGITAL CORP,US0381692070,NDQ,ARCX,50,"26,3500",USD,"-1317,50",USD,"-1135,58","1,1602","0,00","-2,00","-1137,58",3b276af5-e15c-45e2-b258-2c6aa84d6ae6
24-03-2026,15:51,TRADE DESK INC CLASS A,US88339J1051,NDQ,XNAS,-23,"23,5000",USD,"540,50",USD,"466,39","1,1589","0,00",,"466,39",701477df-c641-492c-8319-479fd3d16a21
24-03-2026,15:51,TRADE DESK INC CLASS A,US88339J1051,NDQ,XNAS,-95,"23,5000",USD,"2232,50",USD,"1926,40","1,1589","0,00","-2,00","1924,40",701477df-c641-492c-8319-479fd3d16a21
